,Location,Cood
430,武家湾,"104.868820,34.111694"
431,麦积（低速）,"105.996338,34.368929"
432,河畔(北),[]
433,仁大,"105.748711,35.096901"
434,牡丹,"115.522897,35.296485"
435,春荣,"127.190399,46.457630"
436,九寨沟,"104.246713,33.247483"
437,83号,[]
438,麻沿,"105.738075,34.071316"
439,宁远,"111.944050,25.588766"
440,皇城,"104.365257,31.131779"
441,武威（北线）,"102.638011,37.928264"
442,永寿,"108.127345,34.708870"
443,马家店子,"119.880791,36.792412"
444,周家,"120.793259,29.346598"
445,甘俊,[]
446,三条岘,"105.120399,35.430874"
447,黄羊镇口,"102.851082,37.673000"
448,石门,"111.380014,29.584293"
449,黄渚,"105.687325,33.965508"
450,大南峪,"118.537140,40.281662"
451,大芦,"115.428680,36.915363"
452,陈家嘴,"112.163155,29.233440"
453,潮湖,"106.324867,39.012310"
454,上坝,"117.531502,34.054249"
455,麻子川,"104.111015,34.277534"
456,照中,"99.444176,39.188931"
457,青石,"118.618362,24.750729"
458,荔堡,"107.567574,35.463360"
459,榆川,"103.615250,36.644535"
460,生地湾,"105.419571,33.978180"
461,永丰,[]
462,碱泉子,"97.647011,39.686012"
463,中卫,"105.196902,37.499972"
464,横渠,"112.483620,38.009201"
465,新寨(中梁),[]
466,牧场,[]
467,风翔,"112.335838,22.077030"
468,二站桥,"126.955452,49.675091"
469,大寨子,"98.531082,24.958887"
470,河南县,"101.612121,34.733829"
471,祁丰,"112.087051,26.790909"
472,李湾,"114.363541,31.596966"
473,马鬃山,"97.667084,41.406208"
474,永胜,[]
475,四满口,[]
476,盐官,"105.481415,34.265026"
477,申都,"108.482941,34.378586"
478,文树,"105.007919,35.081703"
479,毛湾,"107.378357,36.052139"
480,盐池岔路,"107.407359,37.783205"
481,寨子,"105.622322,30.410892"
482,红山口,[]
483,神峪河,"106.815811,35.128357"
484,双龙,"102.850372,25.110424"
485,四坝,"102.694725,38.123760"
486,哈溪,"102.542786,37.365868"
487,林草点,[]
488,谭家井,"103.589249,37.577980"
489,北湾,"113.455208,30.757057"
490,赵寨,"115.208717,35.726593"
491,下马,"121.869614,39.860519"
492,漫湾,"100.374222,24.644077"
493,小鸭,"100.310860,39.193012"
494,青河沿,[]
495,十八里铺,"115.633026,36.149223"
496,祁家集,"103.675438,35.504951"
497,东胜,"109.996435,39.817806"
498,安远,[]
499,吴家门,"120.104500,30.387259"
500,镇原中路,"107.196008,35.678740"
501,万泉,"110.348305,19.349255"
502,宁县路口,[]
503,大堡,"123.311806,41.110161"
504,尖山子,"132.473464,46.339465"
505,泥阳,"108.991005,34.932110"
506,铜钱,"108.712494,33.137882"
507,长河,"120.190536,30.174763"
508,大树里,"112.896179,23.003382"
509,两河,"116.778893,40.285500"
510,六级电站,"106.716560,23.792828"
511,二炮,"115.687477,40.632023"
512,豆坝,"105.471863,33.254311"
513,寺台,"114.023827,37.322063"
514,阳坝,"106.396645,32.672218"
515,桃山,"130.979516,45.782269"
516,什字路,"105.667542,34.865379"
517,白杨树坝,"105.488213,33.424400"
518,温缑村,"105.486343,34.637749"
519,枫岭,"105.769554,33.132999"
520,鼎新,"120.224030,31.997599"
521,店子,"113.930115,40.596249"
522,杨庄,"117.198738,34.289303"
523,舒家坝,"106.651291,32.333813"
524,蒲麻,"104.417496,34.537601"
525,白杨,"117.712967,37.867653"
526,刘坝,"120.736847,32.101357"
527,新寺,"109.060509,34.282207"
528,祁山,"102.957390,36.109589"
529,南寨子,"120.307861,37.277443"
530,四龙,"119.021103,41.720852"
531,原峰,"107.070305,35.510098"
532,漫洼路口,[]
533,天水西站,"105.606360,34.308670"
534,天王沟,"105.120819,30.760153"
535,上湾,"110.770729,32.607491"
536,红堡子,"104.497566,35.402622"
537,安塞,[]
538,和平,[]
539,长征,"117.237175,39.135719"
540,饞口,[]
541,砖塔寨,"104.453354,34.442421"
542,八坝,"102.220596,38.139328"
543,新店,"111.958755,21.845589"
544,庆坪,"105.751724,25.125988"
545,黄家铺,"120.581329,36.494953"
546,凤县,"106.515756,33.908469"
547,乌审旗,"108.817607,38.604136"
548,老市区,[]
549,正宁(泾川),[]
550,红沟,"110.627625,32.942890"
551,双城,"126.317250,45.370000"
552,新庄（宁县）,"107.819393,35.341891"
553,老庄,"84.644669,44.585125"
554,外拉地,[]
555,两水,"112.900909,36.083897"
556,新建,"115.826526,28.683281"
557,高庄,"118.911484,32.225681"
558,平山湖大峡谷往返,[]
559,赤金,"118.911377,34.747307"
560,河东里,[]
561,腰站子,"96.718307,40.481121"
562,罗堡,"118.045868,37.483337"
563,定安,[]
564,高磨村,"105.607956,34.446255"
565,捷地,"116.862122,38.252018"
566,北滩,"115.054314,41.339306"
567,安伏,"105.637428,34.967762"
568,黄集寨,"105.882423,34.487671"
569,马家河,"113.100266,27.784761"
570,横山,[]
571,六洋,"110.881195,21.411690"
572,水泥厂1,[]
573,梨尧,[]
574,完尕滩,"101.980537,36.111698"
575,常丰,"117.386086,23.839771"
576,凤翔,"107.397201,34.515008"
577,尖山,"131.143873,46.632043"
578,陈旗,[]
579,中滩,"116.409164,40.057140"
580,利沟,"99.708702,39.391129"
581,义和,"103.697426,30.260847"
582,龙泉,"119.925790,28.470330"
583,芦堡,"101.080383,38.621761"
584,红河,[]
585,河西,"117.222292,39.106292"
586,梅川,"104.121468,34.572048"
587,永兴,"113.117853,26.124829"
588,永正,"119.894524,32.257542"
589,青草湖,"115.848053,24.934011"
590,肖咀,"107.473366,36.295773"
591,新窑,"122.129295,46.427574"
592,机关林场,[]
593,腰站,"126.036400,44.267605"
594,什字,"108.971375,34.914722"
595,干盐池,[]
596,王家铺,"117.791107,40.159985"
597,杨岘,"104.303848,36.252037"
598,下庄子,"87.104706,44.132706"
599,岳堡,"106.037079,35.412254"
600,杨坪,"108.153419,36.118172"
601,双塔,"120.469860,41.584560"
602,黄陵,"109.262961,35.579428"
603,石堡,"110.963478,38.950554"
604,山城,[]
605,双塔镇,[]
606,黑燕,"104.953865,35.277840"
607,瓦峪,"117.276794,35.275681"
608,张董,"111.218628,35.165047"
609,西湖,"116.186398,28.486009"
610,宫河,"108.090981,35.335201"
611,寺儿坪,"104.543419,36.498264"
612,上沙窝,"115.900192,28.695887"
613,十字路,"114.664246,33.139683"
614,王盘山,[]
615,电厂,[]
616,新—上坝,"116.022675,23.474117"
617,大沟,"126.129753,44.458466"
618,松树湾,"114.434097,30.590546"
619,三岔,"103.545517,30.473877"
620,朱店,"120.802162,32.121391"
621,驿马,"125.545692,44.341614"
622,小海子,"103.290466,23.399351"
623,台子寺,"99.727608,39.410919"
624,沙沟,"128.055878,45.115433"
625,鲁家沟,"103.829285,36.035889"
626,四个山,"120.435272,28.092642"
627,双丰岔路,"114.463829,36.616890"
628,大湾头,"108.860832,26.780474"
629,慢湾,"107.545570,34.772018"
630,明水河,[]
631,李寨路口,"116.984505,38.168747"
632,深圳,"114.057868,22.543099"
633,冰沟丹霞,[]
634,龙神沟,"103.923782,29.429874"
635,上店,"119.246582,26.084312"
